Model,Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Baseline,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,embedding_3,52,-0.3185786102961879,0.021346994889019796,-0.31221719457013575,0.024236714314878834
Baseline,REACTOME_COLLAGEN_DEGRADATION,embedding_13,52,0.20741915458120092,0.14008870991648564,0.3918722786647315,0.004065680330205874
Baseline,REACTOME_COLLAGEN_FORMATION,embedding_13,52,0.22775709689861395,0.10440211882669763,0.4338768889268334,0.0013115865593777377
Baseline,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,embedding_13,52,0.22208311812754217,0.11356613393315482,0.35277042602236824,0.010315410432745193
Baseline,REACTOME_ECM_PROTEOGLYCANS,embedding_25,52,-0.3584404823073705,0.009074141474377202,-0.29266626824895414,0.03524898005413766
Baseline,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_3,52,-0.31753844983253,0.021798561252648573,-0.37402885682574916,0.006304419664426395
Baseline,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,embedding_3,52,-0.339255201207909,0.013878820496324268,-0.38956714761376243,0.004308537400703583
Baseline,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,embedding_3,52,-0.2647504282993695,0.05786333581772605,-0.33774438657901473,0.014335945553011573
Baseline,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_25,52,-0.3494383664824205,0.011111123270145896,-0.34261077435328263,0.012907962036725212
Baseline,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_25,52,-0.40512179017051486,0.0028896234363539066,-0.33800051225134464,0.014257555667666413
Orthogonal,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,embedding_4,52,-0.3735818751558781,0.006372148554358279,-0.38222487834030566,0.0051691608956499135
Orthogonal,REACTOME_COLLAGEN_DEGRADATION,embedding_2,52,-0.37253975092923525,0.006532526563216222,-0.4019465551097071,0.0031399564614088306
Orthogonal,REACTOME_COLLAGEN_FORMATION,embedding_21,52,-0.36570645460894696,0.007674007365955946,-0.4061299410910953,0.002813922855654903
Orthogonal,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,embedding_4,52,-0.35074898155790235,0.010792050223318153,-0.3700162212925809,0.006935543240341894
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_4,52,-0.3239550104447694,0.019136873026636664,-0.37197985144711004,0.0066201371505504964
Orthogonal,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_14,52,-0.40983417617907797,0.002550631230905234,-0.42730299667036625,0.0015807894780856039
Orthogonal,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,embedding_4,52,-0.2981064702406706,0.03183411813908749,-0.3467087851105609,0.011801810525291022
Orthogonal,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,embedding_4,52,-0.21866777667521203,0.11937107058083841,-0.29872790916076153,0.03146216332771384
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_14,52,-0.42761126302052016,0.0015671409181050337,-0.47033210962178773,0.00043417468291437604
Orthogonal,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_30,52,-0.4213862099723376,0.0018641509700894688,-0.381285750875096,0.005289437530301969
Orthogonal + Recon,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,embedding_14,52,-0.32578101530440196,0.018431788483839952,-0.33578075642448557,0.014949271264515293
Orthogonal + Recon,REACTOME_COLLAGEN_DEGRADATION,embedding_14,52,-0.4046531970902686,0.002925418768870057,-0.42661999487748653,0.001611408096023345
Orthogonal + Recon,REACTOME_COLLAGEN_FORMATION,embedding_14,52,-0.4429750609056804,0.0010066839274820891,-0.4845043968240416,0.0002729933936078575
Orthogonal + Recon,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,embedding_14,52,-0.37169248186532844,0.0066654998925646065,-0.3961410398702297,0.0036475804607617695
Orthogonal + Recon,REACTOME_ECM_PROTEOGLYCANS,embedding_18,52,0.3591884125920122,0.008920477768892317,0.36216170067446424,0.008331677021646425
Orthogonal + Recon,REACTOME_ELASTIC_FIBRE_FORMATION,embedding_18,52,0.48925478302664344,0.00023260968410648044,0.5211303679672159,7.46097627194892e-05
Orthogonal + Recon,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,embedding_14,52,-0.3306452860582733,0.016660216033981337,-0.40988645095193377,0.0025470774742330643
Orthogonal + Recon,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,embedding_14,52,-0.2591898432580823,0.06353088684062058,-0.3435499018184923,0.012646911382145933
Orthogonal + Recon,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_18,52,0.495043051485701,0.00019077912816070462,0.5222402458806453,7.156552601528592e-05
Orthogonal + Recon,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_8,52,0.22671359088663712,0.10604328557251896,0.3738581063775292,0.0063302181143177075
